ticker,date,adj_close,close,high,low,open,volume,prev_close_1,prev_close_2,prev_close_3,close_t_plus_1,close_t_plus_3,close_t_plus_7,daily_return,ma_5,sentiment
NVDA,25/09/2020,128.4100494,128.7375031,128.8350067,122.4574966,124.4749985,58801600,123.4800034,121.2375031,126.3775024,130.3500061,135.3049927,137.3650055,0.042577742,125.0010025,
AAPL,09/04/2020,65.42602539,66.99749756,67.51750183,66.17500305,67.17500305,161834800,66.51750183,64.85749817,65.61750031,68.3125,71.10749817,67.09249878,0.007216082,64.86849976,0.2202
AAPL,28/07/2020,91.31171417,93.25250244,94.55000305,93.24749756,94.36750031,103625600,94.80999756,92.61499786,92.84500122,95.04000092,106.2600021,113.9024963,-0.016427541,94.15899963,0.1953
AMZN,08/07/2020,154.0554962,154.0554962,154.1985016,150.6215057,151.1304932,100752000,150.0059967,152.852005,144.5149994,159.1315002,155.1999969,148.0984955,0.026995584,149.072699,0.11942
MSFT,29/09/2020,201.3123169,207.2599945,210.0700073,206.8099976,209.3500061,24221900,209.4400024,207.8200073,203.1900024,210.3300018,206.1900024,210.5800018,-0.010408747,205.6600006,
NVDA,04/02/2020,61.54201889,61.78250122,61.97499847,61.00500107,61.50749969,27154400,60.08250046,59.10749817,61.45249939,62.68999863,62.89749908,67.69499969,0.028294441,60.76199951,
TSLA,20/10/2020,140.6466675,140.6466675,143.9166718,139.6833344,143.9166718,94968900,143.6100006,146.5566711,149.6266632,140.8800049,140.2100067,136.9433289,-0.020634588,146.841333,-0.040777778
AAPL,24/01/2020,77.52695465,79.57749939,80.83249664,79.37999725,80.0625,146537600,79.80750275,79.42500305,79.14250183,77.23750305,81.08499908,79.71250153,-0.002881977,79.52700195,0
AAPL,04/06/2020,78.90293121,80.58000183,81.40499878,80.19499969,81.09750366,87560400,81.27999878,80.83499908,80.46250153,82.875,85.99749756,85.74749756,-0.008612167,80.52850037,-0.4215
AMZN,04/02/2020,102.4834976,102.4834976,102.9899979,100.7685013,101.4940033,105786000,100.2099991,100.435997,93.53399658,101.9934998,103.9639969,107.4934998,0.022687342,97.91269836,-0.1591
MSFT,21/04/2020,162.1594543,167.8200073,173.6699982,166.1100006,173.5,56203700,175.0599976,178.6000061,177.0399933,173.5200043,174.5500031,179.2100067,-0.041357194,174.0800018,-0.106066667
MSFT,28/04/2020,164.0823364,169.8099976,175.6699982,169.3899994,175.5899963,34392700,174.0500031,174.5500031,171.4199982,177.4299927,174.5700073,183.6000061,-0.024360847,172.6700012,-0.440666667
MSFT,22/05/2020,177.8140717,183.5099945,184.4600067,182.5399933,183.1900024,20826900,183.4299927,185.6600037,183.6300049,181.5700073,181.3999939,185.3600006,4.36E-04,184.2279999,
MSFT,11/06/2020,180.4883728,186.2700043,195.7599945,186.0700073,193.1300049,52854700,196.8399963,189.8000031,188.3600006,187.7400055,193.5700073,200.5700073,-0.053698396,189.6940002,
AMZN,02/10/2020,156.25,156.25,159.7899933,156.1499939,157.6815033,112262000,161.0630035,157.4364929,157.2440033,159.9600067,159.7845001,172.1815033,-0.029882738,158.1391998,0.2732
NVDA,18/02/2020,73.85391235,74.14250183,74.32749939,71.21499634,71.41000366,62016400,72.44750214,67.69499969,68.13500214,78.67500305,73.51750183,63.15000153,0.023396248,69.87850189,
NVDA,13/08/2020,114.1048126,114.4300003,117.2174988,113.5575027,115.4599991,37446000,114.4024963,108.5,111.6500015,115.6399994,122.6074982,127.2024994,2.40E-04,112.1955002,
AAPL,09/03/2020,64.98170471,66.54250336,69.52249908,65.75,65.9375,286744800,72.25749969,73.23000336,75.68499756,71.33499908,62.05749893,61.66749954,-0.079092085,72.00900116,0.153971429
AAPL,26/03/2020,63.0945282,64.61000061,64.66999817,61.59000015,61.63000107,252087200,61.38000107,61.72000122,56.09249878,61.93500137,63.57249832,65.61750031,0.052622996,60.22250061,0.147775
AAPL,07/08/2020,108.9961624,111.1125031,113.6750031,110.2925034,113.2050018,198045600,113.9024963,110.0625,109.6650009,112.7275009,113.0100021,115.5625,-0.024494575,110.7360001,0.3971
AMZN,23/03/2020,95.14150238,95.14150238,95.97000122,90.59999847,91.38749695,156170000,92.30449677,94.04650116,91.5,97.00499725,97.77449799,95.38500214,0.030735292,92.67689972,0.6652
AMZN,13/05/2020,118.3960037,118.3960037,120.3850021,116.8899994,118.3399963,95658000,117.8475037,120.4499969,118.9804993,119.4424973,121.3130035,121.8440018,0.004654321,118.8109009,
AMZN,18/09/2020,147.7454987,147.7454987,151.8899994,145.2769928,151.5870056,177852000,150.4364929,153.9049988,157.8065033,148.0234985,149.9929962,157.2440033,-0.017887909,153.0083984,0.19925
NVDA,19/06/2020,92.34932709,92.61250305,94.44999695,92.27249908,92.42500305,52416000,92.18000031,92.36000061,90.68499756,95.26750183,92.35500336,94.97750092,0.004691937,91.91500092,
AAPL,14/12/2020,119.6665878,121.7799988,123.3499985,121.5400009,122.5999985,79184500,122.4100037,123.2399979,121.7799988,127.8799973,128.6999969,130.9600067,-0.005146678,122.7179993,-0.129166667
AAPL,28/02/2020,66.7370224,68.33999634,69.60250092,64.09249878,64.31500244,426510000,68.37999725,73.16249847,72.01999664,74.70249939,75.68499756,71.33499908,-5.85E-04,71.28949738,0.130214286
AAPL,02/10/2020,110.8673096,113.0199966,115.3700027,112.2200012,112.8899994,144712000,116.7900009,115.8099976,114.0899963,116.5,115.0800018,121.0999985,-0.032280197,114.9339981,0.161766667
